,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment,clean_text
26,16,3,2,0,0,0,0,1,ûï googl set launch new social network circl today sxswû
27,13,0,1,1,0,0,0,1,googl launch major new social network call circl possibl today link sxsw
28,26,0,1,0,3,0,0,3,stand long line surround unemploy techi brooklyn sxsw appl store th ave wait ipad
29,22,1,5,2,1,0,0,1,wow someth ventur kick ass film googl blekko detail good choic sxsw startup vc movi awesom
30,17,1,1,1,1,0,0,1,rt ipad dj need one tuesday douch bag need not appli sxsw
31,26,0,2,1,1,0,0,2,pack mani appl devic alarm set see ya sxsw psych meet final mani guy
32,9,0,1,1,0,0,0,2,check offer googl cool link sxsw
33,20,2,1,2,0,0,0,2,rt look interest rt googl launch major new social network call circl possibl today link sxsw
34,27,0,2,1,0,0,0,0,went whole day laptop amp use ipad thing miss ftp cloudapp fast type amp skype ipad sxsw
35,19,0,2,0,1,0,0,1,find stupid stupid game ipad current special sxsw sale link
36,15,0,1,1,0,0,0,1,overheard sxsw quot googl launch product peopl event quot
37,15,0,1,0,1,0,0,1,mayer peopl drive bn mile year use googl map navig whither sat nav sxsw
38,11,1,2,2,0,0,0,1,rt googl launch geo social offer sxsw link deferomobil
39,25,1,2,2,1,0,0,1,rt give away shini ipad sxsw quotabl simpli sign enter automat gt gt link ipad sxsw
40,15,1,3,0,0,0,0,1,heard downtown locat sold merchandis last night sxsw appl ipad
41,27,0,2,1,0,0,0,2,bum miss sxsw year quarantin kiddi cold garageband ipad comfort fb
42,21,0,1,0,0,0,0,1,lone planet made austin guid free sxsw grab never know need link
43,19,0,5,3,0,0,0,1,sxsw groupm say itûª go global first add new social featur link android iphon sm stevemartocci sxsw
44,18,0,4,1,0,0,0,1,time warner cabl roll ipad app live tv march link entri friend hous sxsw
45,19,2,1,1,0,0,0,1,sxsw post mobil social parti link via could win photographi gear amp ipad
46,26,3,2,2,1,0,0,2,rt awesom new version iphon new web site come sxsw want demo meet sxsw pl rt
47,22,5,1,1,2,0,0,1,download let one sf sweet link love vid via sxsw
48,14,0,1,1,0,0,0,2,nice move appl set open popup shop core sxsw action link
49,22,0,1,1,0,0,0,1,motley fool googl prepar fight facebook circl may not appear sxsw way link
50,19,2,2,1,0,0,0,0,rt googl lost way care much busi vs user psych sxsw
51,25,1,2,2,2,0,0,1,rt updat recco link sxsw panel parti def good time follow friend newbi
52,20,1,1,0,0,0,0,1,ûï googl launch major new social network call circl possibl today link sxswû dejavu
53,23,1,1,1,0,0,0,1,quot seen one ipad sxsw far quot audienc member rais ipad
54,20,1,1,1,0,0,0,1,lt rumor gt rt googl launch major new social network call circl possibl today link sxsw
55,21,0,1,0,0,0,0,1,tessi frontwoman intim stranger ink pain place get ink respect locat link sxsw
56,22,1,1,1,0,0,0,1,quot futur quot contextu discoveri nice way articul intersect social mobil search sxsw
57,18,0,3,1,0,0,0,1,googl reportedli unveil new social network call circl like launch may link googlecircl googlem sxsw
58,24,0,1,1,0,0,0,1,sxsw tradeshow floor engag multi touch interact wall take part augment realiti enter win ipad
59,12,3,2,0,0,0,0,1,sxsw fashion essenti photo iphon
60,11,0,1,0,0,0,0,2,awesom iphon charg locker registr loung sxsw link
61,21,1,1,3,0,0,0,2,brilliant hope plenti ipad rt appl open pop shop sxsw report link sxsw
62,14,0,1,1,0,0,0,1,launchrock vencorp want give ûïbestû startup sxsw link
63,23,0,3,0,0,0,0,0,compos tweet acerb cynic ipad user phone crash dump app twitterpow sxsw imthatgood
64,19,1,1,1,0,0,0,2,rt sxsw taught anyth want ipad dont know
65,18,0,2,1,1,0,0,2,anyon news sxsw ipad must cours link
66,17,0,1,1,0,0,0,1,minu hour social media maven start perform degrad sex act iphon charg sxsw
67,8,1,1,0,2,0,0,1,haha iphon sxsw
68,17,1,2,1,0,0,0,0,talk mistak made build netflix iphon sxsw netflixiphon
69,27,0,1,0,0,0,0,1,say booth tradeshow waffl ipad portion rep dress crazi charact sxsw
70,16,8,2,1,0,0,0,1,ipad appl store sxsw photo thank link
71,13,0,3,0,0,0,0,1,googl launch major new social network call circl possibl today link sxsw
72,14,0,4,1,0,0,0,1,bjdproduct appl open pop store austin sxsw geekfest appl link tech
73,11,0,3,0,1,0,0,1,thought path iphon photo app sxsw iphoneographi mobilephotographi
74,30,1,2,0,2,0,0,1,heck sick appl supposedli set mini store sxsw go amp feel plan go
75,18,1,2,2,0,0,0,1,rt line might well popup appl store austin sxsw ipad
76,11,1,3,0,0,0,0,1,sq see facebook googl competit via checkin sxsw
77,12,0,1,2,0,0,0,2,googl lab fusion tabl made elect day foursquar visual possibl sxsw pr
78,17,0,5,1,0,0,0,2,tech lightboxphoto want new android camera app sxsw although android adopt link technolog
79,15,0,2,1,0,0,0,2,googl marissa mayer locat base fast fun futur link sxsw sxswi
80,25,0,2,2,1,0,0,0,spent come sxsw alreadi use ipad wait coupl citi block ipad sxsw link
81,23,0,1,1,0,0,0,2,noth quit like sxsw make want ipad desper almost drool guy next
82,23,1,2,7,0,0,0,1,ûï link lt help forward doc anonym account techi amp ppl help us jam libya sxsw
83,20,2,3,2,0,0,0,1,rt social import googl screw big launch circu link via sxsw
84,19,0,1,0,0,0,0,1,thought peopl spent lot time stare iphon last year sxsw wait
85,12,0,1,0,2,0,0,1,googl new social network quot circl quot announc today sxsw
86,11,0,1,2,0,0,0,1,appl open pop shop sxsw report link sxsw
87,14,1,1,2,2,0,0,1,rt ipad left appl store sxsw anyon know
88,18,1,4,1,0,0,0,1,new ubersoci iphon app store includ uberguid sxsw sponsor mashabl link
89,15,2,2,2,0,0,0,1,rt rt googl set launch new social network circl today sxsw
90,21,0,2,0,0,0,0,2,cun appl keep ipad popup store open late next sxsw parti impuls late night purchas no regret
91,17,0,3,0,0,0,0,1,opportun knock link code valid infektd sxsw necro
92,13,1,3,1,1,0,0,1,lazer rt display tonit link gsdm googl industri parti link sxsw
93,27,0,1,0,0,0,0,1,correct cab driver well prepar sxsw got laptop blackberri iphon dashboard got regular cell
94,15,0,3,1,0,0,0,1,sxsw fmsignal marissa mayer googl announc check in interview john battel link
95,18,1,2,0,0,0,0,1,sxsw enchant quot like say pleas regist go googl quot hahah
96,25,2,2,3,0,0,0,1,rt rt tweet regist exclus pass event parti ipad sxsw liberti free sxswpass
97,14,0,2,0,0,0,0,2,tim soo invis instrument jaw drop iphon wii control link lovemusicapi sxsw
98,29,1,1,1,0,0,0,1,rt appear appl open pop store austin sxsw employe tri hide beechwood tabl gave away
99,11,1,2,1,0,0,0,1,rt horror stori women tech link sxsw
100,7,1,2,2,0,0,0,1,rt full sxsw touchingstori present link
101,19,0,1,0,0,0,0,1,listen congo os ipanema via discovr app iphon link live sxsw
102,12,0,2,1,0,0,0,1,event day earthquak tsunami ipad plu sxsw link
103,21,2,1,2,1,0,0,1,rt ipad design headach take two tablet call panel excit hear live sxsw
104,18,1,2,0,1,0,0,1,tire wait line store best buy austin announc ipad sale today sxswinfo sxsw
105,23,0,1,0,0,0,0,1,smart entrepreneur would set line consign shop help sell outdat ipad unit sxsw link
106,18,1,3,3,0,0,0,1,walk industri parti gsdm amp googl austin tx sxsw
107,10,0,1,2,0,0,0,2,check iphon develop meet sxsw link sxsw
108,18,0,2,0,1,0,0,1,googl launch social network definit not sxsw rumor still link googlecircl
109,9,0,1,1,1,0,0,1,anyon know sxsw appl store still ipad
110,25,2,1,1,1,0,0,2,good point rt love sxsw quot appl come cool technolog go confer quot
111,19,1,1,3,0,0,0,2,appl open downtown austin pop store sxsw rt even begin appl win sxsw link
112,22,1,1,1,1,0,0,1,chanc not buy ipad sxsw unless alreadi got one way
113,23,0,1,1,0,0,0,1,start googl doodl burn man pac man beyond let ser get new idea sapo sxsw
114,28,2,1,1,0,0,0,1,rt quot everyon alreadi one quot not anti theft protect leav laptop ipad go get latt sxsw
115,26,1,1,0,0,0,0,1,quot lotta hipster could meet guy fedora ipad quot assist stage sxsw
116,9,0,2,1,0,0,0,2,tech even begin appl win sxsw link
117,17,2,1,2,2,0,0,2,rt link hear appleûª open temporari store sxsw via
118,23,1,1,0,0,0,0,2,sxsw folk take note ipad sure download dan bricklin app notetak realli sweet thank
119,19,1,1,0,1,0,0,1,quot googl launch major new social network call circl possibl today quot link sxsw
120,19,1,2,1,0,0,0,2,rt appl set pop store austin sell bajillion ipad sxsw attende link brilliant
121,22,1,1,2,0,0,0,1,rt appl announc pop store sxsw see take futur pop store link client
122,23,0,1,1,1,0,0,2,vestibul temp appl store min wait ipad amp replenish suppli sxsw
123,25,0,1,1,1,0,0,3,googl bing search smackdown panel giant room not enough chair hope search quot floor sit quot sxsw
124,12,0,1,2,0,0,0,1,lot chatter around googl new social network circl sxsw kek
125,14,0,2,1,0,0,0,1,watch talk guy hire joni ive appl sxsw industrialdesign
126,22,1,1,1,0,0,0,1,rt sound voic shot exploit appl amp best buy day return polici imac brilliant sxsw
127,16,2,1,2,0,0,0,1,rt cameron sinclair spearhead japan disast relief sxsw via twitter amp iphon link
128,22,1,3,0,1,0,0,0,tweet sxsw pretti non exist today thank iphon app fail hootsuit epic replac owllov
129,8,1,1,1,0,0,0,2,arriv googl sxsw parti awesom
130,19,1,4,1,0,0,0,1,ipad loung recharg see art ipad show daili sxsw åç austin detail link
131,14,0,2,1,0,0,0,1,appl open pop store austin sixth amp congress sxsw link ipad
132,17,0,4,0,0,0,0,1,virtualwallet sxsw paypal get physic good cut appl get softwar virtual good
133,11,0,1,0,0,0,0,3,origin product devic nut sxsw eg ipad
134,13,0,2,1,0,0,0,1,sxsw novelti ipad news app fade fast among digit deleg link
135,21,0,1,1,0,0,0,2,jut time sxsw gt group text war heat fast societi launch new android app updat iphon app link
136,15,0,1,0,1,0,0,1,got googl parti speakeasi free drink food come sxsw
137,20,2,2,3,1,0,0,1,rt fyi break googl launch major new social network call circl today link via sxsw socialmedia
138,10,1,1,2,0,0,0,1,crazi big crowd sxsw appl store sxsw link
139,21,2,1,2,1,0,0,1,rt woah dude sxsw get brand tattoo exchang ipad no realli link think
140,6,0,1,1,0,0,0,1,appl popup store sxsw link
141,14,2,1,2,0,0,0,1,rt internet blur link ipad fade link ûò sxsw
142,20,0,1,0,0,0,0,0,sit floor behind guy fondl new ipad disturb way sxsw
143,12,0,1,0,1,0,0,2,give away ipad panel wish luck sxsw
144,7,0,1,0,0,0,0,2,world largest ipad sxsw link
145,10,0,2,0,0,0,0,2,iphon version flipboard hope summer sxflip sxsw
146,26,0,2,0,0,0,0,2,set googl gsdm sxsw parti go zing check event sxsurrog com come
147,18,5,2,2,0,0,0,1,rt calvin geek charli sheen goddess googl sxsw
148,10,0,1,0,0,0,0,1,lone planet free guid austin link iphon sxsw
149,19,3,1,2,0,0,0,1,rt googl launch major new social network call circl possibl today link via sxsw
150,17,0,6,2,0,0,0,1,appl hp pop sxsw set temp site link austin atx austinbusi
151,11,1,1,3,0,0,0,1,rt googl not launch product sxsw link
152,20,0,1,1,0,0,0,2,seat turkey bowl armadillo amp kill list sxxpress pass acquir could buy ipad sxsw
153,25,1,1,0,0,0,0,1,made press room got swag regist ipad hope get meet mike tyson sxsw
154,31,0,1,6,2,0,0,2,still use tweeti mac amp run leopard pariah sxsw wish least android someth make cool
155,9,0,2,0,0,0,0,1,googl might launch circl today sxsw link mobil
156,22,0,1,1,0,0,0,2,next life come back ipad women keep hand thing sxsw
157,10,1,1,1,1,0,0,2,win ipad sxsw via sxsw link
158,28,0,1,0,0,0,0,1,way android parti hewlitt packard badass thing goi free food booz music love sxsw
159,16,0,2,1,0,0,0,1,hootsuit mobil sxsw updat iphon blackberri amp android share paulû link share
160,7,0,1,0,1,0,0,2,ipad tweet ride thru sxsw
161,26,1,2,1,0,0,0,2,setup sxsw demo restaur page sign download iphon app check link amp say hi sxswi
162,21,2,1,3,1,0,0,2,rt ye updat iphon app song info stream other also live video stream sxsw link
163,12,0,1,0,0,0,0,2,ipad hand exquisit sxsw
164,20,1,1,1,4,0,0,2,best schwag seen sxsw batteri charger iphon get one
165,16,1,3,2,0,0,0,1,rt appl open pop store sxsw time ipad sale link
166,14,1,2,1,1,0,0,2,rt decid need ipad usguy sxsw agre
167,21,1,1,1,1,0,0,1,yup rt woke iphon finish recharg mean got enough sleep last night right sxsw
168,13,0,1,1,0,0,0,1,platform concertgo launch android app time sxsw link sxsw link
169,29,1,1,1,1,0,0,1,rt server challeng huge hit sxsw come booth tri hand win iphon bottl open case beat min
170,9,0,2,1,1,0,0,2,anyon find makeshift appl store sxsw yet
171,12,0,1,1,0,0,0,2,appl sxsw store still ipad short line
172,18,0,2,0,0,0,0,1,accord googl marissa mayer futur locat augment realiti contextu discoveri make smartphon smarter sxsw fb
173,16,1,2,1,0,0,0,1,money money money appl head sxsw set temporari store austin link via
174,19,2,2,0,1,0,0,1,quot oh goe search quot watch googl seem come launch sxsw
175,19,1,1,2,0,0,0,2,rt dawn ipad app week earli help prep sxsw link
176,18,0,2,1,2,0,0,2,seattl sxsw peep today replac iphon hand back action
177,20,2,2,2,0,0,0,1,iphon mute tag peopl conversationsû quot mobil sxsw notatsxsw quot rt
178,20,0,2,1,1,0,0,2,discov new convers icebreak quot hey new ipad ye quot sxsw social
179,27,2,1,2,0,0,0,1,rt rt not rumor appl open temporari store downtown austin sxsw ipad launch link
180,20,1,3,1,1,0,0,2,great blog latest news sxsw like open appl store link sxsw
181,22,3,3,4,0,0,0,2,rt bt sxsw quot realli great social search probabl good idea googl quot
182,11,1,1,0,0,0,0,1,person guid austin sxsw link
183,18,2,1,0,0,0,0,1,appl open temporari store friday scarbrough build th congress sxsw link
184,25,3,5,0,0,0,0,2,not rumor monger good read googl circl preview sxsw link via socbiz fb
185,22,1,1,2,0,0,0,2,realllllllli need upgrad phone haha rt iphon app youûªll probabl need use sxsw link
186,26,1,2,1,0,0,0,1,rt appl like pay long gadget like mani close system work pnid sxsw
187,13,0,2,1,1,0,0,2,spot sxsw man need ipad ûò link sxswi
188,8,0,3,0,1,0,0,1,piday googl sxsw booth link
189,13,1,1,0,1,0,0,2,thank free drink googl sxsw speakeasi other link
190,10,0,1,1,1,0,0,2,cool appl open temporari store sxsw link sxsw
191,25,4,1,1,0,0,0,2,prefer news iphon ipad droid app amp mobil app sxsw
192,23,0,1,1,0,0,0,1,listen australian knob celebr journalist shoot shoot shoot iphon vid meet celeb sxsw
193,20,3,2,3,0,0,0,1,rt rt iphon app use south southwest interact link sxsw sxswi
194,20,0,2,0,0,0,0,1,appar googl quot ad prefer quot see googl think like seenocreepi sxsw
195,16,2,3,2,0,0,0,1,rt rt googl launch check servic sxsw provid deal fmsignal sxswi
196,26,3,1,1,0,0,0,1,rt coyneûª sxsw hereûª keep road link
197,20,1,1,0,1,0,0,1,open tech talk appl store whore pc right crowd dig carri sxsw
198,11,0,1,1,0,0,0,1,game play swsx spot non appl electron sxsw
199,16,1,1,2,0,0,0,1,rt hoot new blog post hootsuit mobil sxsw updat iphon blackberri android link
200,27,1,1,1,0,0,0,1,rt line appl pop store everyon wait ipad first guy arriv degre badg everywher sxsw
201,18,5,1,0,0,0,0,1,evolv novelti game essenti util link via sxsw
202,19,0,2,0,0,0,0,2,googl goggl locat could tell exampl histori build look augmentedr sxsw
203,18,1,3,0,1,0,0,2,aliv love great talk jonathan dahl minimalistprogram googl marissa mayer marissagoogl sxsw
204,21,1,1,1,0,0,0,2,great recap seemingli great sxsw session rt reliv wonder googl bing panel link
205,14,0,2,1,0,0,0,1,facebook killer googl circl announc sxsw interact festiv link googl sxsw
206,11,1,2,0,0,0,0,2,ipad sxsw thank fxsw
207,9,2,2,1,2,0,0,1,grab latest sxsw link saytextson
208,13,1,1,2,0,0,0,1,rt appl head sxsw set temporari store austin link
209,26,1,1,1,3,0,0,1,good ûï purchas ipad sxsw see ppl buy white one nice frame present read û
210,12,2,2,2,0,0,0,2,rt even begin appl win sxsw link
211,18,0,2,2,0,0,0,1,ogilvi au sxsw podcast channel open biz itun subscrib daili updat link
212,12,1,1,0,0,0,0,2,get new ipad sxsw flash appl store link
213,14,0,2,1,1,0,0,1,anyon sxsw wanna bring back window foam link microsoft
214,13,2,1,0,2,0,0,2,oh oh oh ipad come sxsw badg
215,19,0,1,0,0,0,0,1,valuabl appl ipad app top critic task manag uber la lt ipad day sxsw link
216,14,0,1,0,0,0,0,1,haha googl serv pie sxsw booth pm
217,21,0,3,1,0,0,0,1,appl set squar foot temporari store sxsw sell new ipad test potentialû link socialmedia ipad
218,20,0,1,1,0,0,0,1,appl open temporari store downtown austin sxsw amp ipad launch link sourc statesman com
219,18,0,1,0,0,0,0,2,line ipad pop appl store outlandish entir week sxsw
220,20,3,3,2,3,0,0,2,awwww yeah rt congrat win last ipad case boyfriend aw sxsw cbatsxsw
221,22,0,2,0,0,0,0,2,stack ipad wait bought sxsw got mine no hassl appl handl perfectli link
222,17,2,1,2,1,0,0,2,yay rt ûï flipboard next platform iphon ceo say sxswû
223,19,1,3,1,0,0,0,0,quot no reason appl continu surviv exist god quot enchant sxsw sxswi
224,14,0,1,1,0,0,0,1,marissa mayer googl connect digit amp physic world mobil link sxsw
225,15,2,1,0,1,0,0,1,googl circl loom googl nerd get social sxsw link via
226,16,0,1,0,0,0,0,2,photo far best sxsw accessori ipad follow close margarita link
227,23,0,1,0,0,0,0,2,start sxsw plan last night offici ipad app solid resourc still come short schedul
228,15,1,1,1,0,0,0,1,rt googl launch major new social network call circl possibl today link sxsw
229,10,1,1,1,0,0,0,1,check coyn pr updat sxsw link via
230,14,2,2,2,0,0,0,1,rt rt win ipad sign link sxsw wantlet
231,10,1,1,1,0,0,0,1,rt appl store downtown austin open til midnight sxsw
232,25,2,1,3,0,0,0,1,rt quot appl like pay appl like quot barri diller sxsw acc ballroom pic link
233,18,1,1,4,0,0,0,1,cnn launch quot tv everywher quot servic mobil googl tv comput link sxsw via
234,14,2,1,1,0,0,0,2,iphon app keep groov sxsw link via
235,11,2,2,1,0,0,0,1,rt doubl fist keynot sxsw appl link
236,22,0,2,0,1,0,0,1,sxsw indieauthor sander quot one author talk technolog stori facebook iphon show stori quot
237,14,0,1,1,0,0,0,1,new moos tracker googl discuss import locat mobil link sxsw
238,25,1,1,3,0,0,0,1,wish could go head link pm cst today win vip access acoust solo set sxsw tonight
239,11,0,6,1,1,0,0,1,÷¼ ÷ link ã edchat musedchat sxsw sxswi classic newtwitt
240,19,0,2,3,0,0,0,1,take flight away big appl nyc nest bare hatch startup take flight sxsw link sxsw startup
241,20,1,1,1,1,0,0,1,fals alarm could googl blush rt googl launch major new social network call circl link sxsw
242,10,0,2,0,0,0,0,3,iphon crash front sxsw appl pop bestworstthingev
243,24,4,3,1,1,0,0,2,rt great panel guy fr amp googl hotpot social rec def not end rec discotalk sxsw sloanxsw
244,26,1,1,2,0,0,0,1,ha ha rt sxsw news yahoo com loos search traffic new site googl com doubt last tho weird name
245,18,0,1,1,1,0,0,2,appl put popup store sxsw hawk ipad think sell one two link
246,24,1,2,2,0,0,0,1,quot quot rt gsd amp googl sit tree link sxsw gsdm
247,27,2,2,2,0,0,0,2,rt quot one thing sxsw good flash mob hive think quot appl win sxsw ipad link
248,18,0,1,1,1,0,0,2,googl map usag mobil see demo new version mobil map nice sxsw
249,23,1,2,2,4,0,0,2,lol gadgetzilla fun sxsw festiv time omg scare got netbook ipad amp droid
250,17,0,3,1,0,0,0,1,sxsw quot day ipad interfac design quot not relat discover quot ipad digit
251,15,1,2,3,1,0,0,1,rt mingli appl tv day giveaway regist win sxsw win link
252,12,0,1,0,0,0,0,1,appl open temp store friday th amp congress sxsw link
253,29,2,2,3,0,0,0,2,rt rt best thing heard weekend sxsw quot gave ipad money japan relief need ipad
254,14,3,1,0,0,0,0,1,ran temporari appl store ami sxsw
255,19,0,5,0,0,0,0,1,could big gt gt googl launch major new social network call circl possibl today link tech sxsw
256,23,3,3,2,2,0,0,1,rt go sxsw find amp could win tech prize ipad amp iphon case
257,26,0,1,0,0,0,0,1,tri initi carpool ridonkul taxi line geek silent bet everyon would iphon app sxsw
258,18,2,1,2,1,0,0,1,rt free sampler celebr sxsw year includ barton hollow link nice
259,23,0,1,3,0,0,0,2,foodthought juxtapos ipad sxsw rock lybian rebel thwart gorgeou day la amp japan reel
260,11,1,1,2,0,0,0,1,rt win free ipad webdoc com sxsw rt
261,26,1,1,2,0,0,0,2,rt iron tee usurp ipad hipster geek start chic fashion item year sxsw
262,13,1,1,1,0,0,0,0,novelti ipad news app fade fast among sxsw deleg link
263,11,1,1,0,0,0,0,1,android parti sxsw lustr pearl bar other link
264,28,1,1,1,0,0,0,1,rt design ipad like design class someon give talk assum ditch previou experi sxsw
265,15,0,3,1,0,0,0,3,quot googl product need condens quot merissa mayor sxsw confer link
266,28,1,1,2,0,0,0,0,rt yet walk confer room look like appl ad think noth els sxsw
267,11,0,4,1,0,0,0,1,appl ehphon avail canada sxsw appl aphon canada
268,18,1,4,0,0,0,0,2,ipad loung free daili sxsw free coffe ipad art recharg refresh åç austin detail link
269,21,1,1,3,1,0,0,1,queue ipad instead parti honestli geek get grip rt ipad take sxsw video link
270,17,0,1,0,0,0,0,1,mayer make clear googl go straight foursquar amp gowalla googl hotpot sxsw
271,21,0,3,0,0,0,0,1,mass googl zation rank index educ asset vs lost sea uncatalogu materi present futureof gsdm sxsw
272,25,1,1,3,0,0,0,2,rt updat npr music iphon app song info song amp live video stream time sxsw link
273,22,0,1,0,0,0,0,0,disgust iphon batteri life alreadi pm blackberri go strong sxsw
274,22,1,2,2,0,0,0,1,averag googl map see user come mobil devic becom connect sxsw donlin dk
275,23,0,2,1,0,0,0,2,pack hous googl bing amp search rank oh quot hope catfight quot sxsw qagb
276,14,0,3,2,0,0,0,2,good morn everybodi ipad take sxsw video link via mashabl appl
277,21,3,3,0,1,0,0,1,great meet meetup post new sxsw medic app link sxswh hcsm
278,14,0,1,0,0,0,0,1,phone around blackberri iphon android distant third sxsw
279,20,1,2,2,1,0,0,1,rt go sxsw checkin friend youûªr austin locat base app link iphon
280,9,0,1,2,1,0,0,2,gsdm googl parti hook sxsw link
281,9,0,1,0,1,0,0,1,googl social network circl come today sxsw link
282,17,1,5,1,0,0,0,1,avail today mobil app iphon android blackberri windowsmobil facebook info link sxsw
283,12,1,1,0,1,0,0,1,idea time appl store sxsw close tonight
284,23,0,2,1,0,0,0,1,atom tom rock cnn grill parti brooklyn googl also food drink fantast sxsw sxswi
285,21,2,1,0,0,0,0,2,got custom iphon case sxsw artwork favorit blackbook piec link
286,14,1,1,1,0,0,0,1,rt travel sxsw ipad
287,14,1,1,1,0,0,0,2,would give appl stock like slim link sxsw
288,24,1,1,2,2,0,0,2,geeki love rt appl open temporari store downtown austin sxsw ipad launch link
289,9,0,4,1,0,0,0,2,win pictur android googl sxsw link
290,14,1,2,2,0,0,0,2,rt ooooo appl rumor open temporari store sxsw link
291,27,2,1,2,0,0,0,1,rt rt walk pop appl store like walk futur ipad type comput sxsw
292,10,1,1,1,0,0,0,1,googl host develop day sxsw link sxsw
293,22,1,1,3,0,0,0,1,rt sxsw need best android dev html js issu need solv quickli handsom reward love grab
294,25,1,1,2,0,0,0,1,rt friendli remind sxsw attende talk text film slap amp steal ipad
295,18,0,1,2,0,0,0,1,line appl pop store austin open pm sxsw link
296,18,0,2,1,0,0,0,1,view back line get leagu extraordinari hacker googl event sxsw link
297,21,2,1,2,0,0,0,2,mt ûï agenc push googl direct never would gone say creativ lab strategi director sxswû
298,26,1,1,4,1,0,0,2,rt appl open pop store sxsw releas ipad quit scene geek power link
299,23,2,1,1,0,0,0,1,send earli app access io android glad qa team help sxsw
300,17,0,4,1,1,0,0,2,white ipad gig wifi avail austin sxsw appl popup store right no wait
301,13,0,1,1,0,0,0,1,get readi mom ipad design boomer link sxsw
302,17,1,1,1,0,0,0,0,hey app download android app market head sxsw
303,24,1,2,3,0,0,0,1,wow not spend minut sxsw line rt appl popup store sxsw link
304,12,1,2,1,4,0,0,1,attend parti sxsw interest peopl wii
305,23,1,1,1,0,0,0,2,updat iphon app song info select stream incl amp live video stream time sxsw link
306,22,2,1,3,0,0,0,1,attn rt appl open temporari store downtown austin sxsw ipad launch link
307,19,2,1,0,2,0,0,2,hey mark no sleep sxsw bring home shini new ipad would ya
308,23,0,2,0,0,0,0,1,talk social media monitor platform sm vs radian vs googl analyt smmnextgen sxsw right line convo last night
309,21,1,1,1,0,0,0,0,realli hope sxsw would bring android version oh well mayb someday long time
310,21,0,1,1,2,0,0,1,look iphon app manag multipl account allow select follow list suggest sxsw
311,9,0,2,0,0,0,0,1,awesom lost colleagu left iphon car fail sxsw
312,5,1,1,0,0,0,0,1,watch sxsw link
313,16,0,1,0,0,0,0,1,ipad design also checkout project magazin guardian eyewit zinio interest concept ref ipad magazin sxsw
314,16,1,1,1,2,0,0,2,wow much hirer expect rt googl map use mobil sxsw
315,14,0,2,0,0,0,0,1,googl look social signal search result qagb sxsw
316,26,0,4,0,0,0,0,1,hope blackberri sprint popup store open get xtra batteri ye still sprint blackberri sxsw appl
317,10,0,1,1,0,0,0,2,ipad star gadget sxsw link sxsw
318,20,0,6,1,0,0,0,2,kinda giddi theindustryparti googl amp gsdm final fun come us non swsurrog sxsw notpout
319,16,2,1,2,0,0,0,1,ton good music free sxsw sampler via link
